name,year,population
Holy See,1985,"29,154"
Holy See,1980,"30,065"
Holy See,1960,"8,157"
Holy See,1955,"7,669"
Holy See,2016,"33,504"
Holy See,2015,"33,272"
Holy See,2010,"31,229"
Holy See,1955,"5,783"
Holy See,1995,"30,716"
Holy See,1990,"29,438"
Holy See,1985,"28,832"
Holy See,1975,"20,234"
Holy See,1970,"21,302"
Holy See,1965,"18,894"
Holy See,2019,"52,823"
Holy See,2010,"35,994"
Holy See,2005,"34,713"
Holy See,2000,"33,184"
Holy See,1995,"30,880"
Holy See,2005,"34,248"
Holy See,2000,"28,935"
Holy See,1995,"27,321"
Holy See,1990,"31,520"
Holy See,1970,"10,359"
Holy See,1965,"9,134"
Holy See,1960,"8,074"
Holy See,1955,"7,670"
Holy See,2016,"40,808"
Holy See,2015,"39,968"
Holy See,2010,"34,168"
Holy See,2000,"20,164"
Holy See,1995,"16,216"
Holy See,1990,"12,111"
Holy See,1985,"9,970"
Holy See,1980,"7,888"
Holy See,2017,"48,331"
Holy See,2016,"48,173"
Holy See,2015,"48,051"
Holy See,2010,"47,814"
Holy See,1960,"5,323"
Holy See,1955,"5,069"
Holy See,1975,"30,067"
Holy See,2005,"29,324"
Holy See,2000,"27,462"
Holy See,1995,"25,928"
Holy See,1990,"24,125"
Holy See,2019,"55,312"
Holy See,2018,"55,465"
Holy See,1980,"26,745"
Holy See,2019,"56,672"
Holy See,1960,"18,212"
Holy See,1955,"16,347"
Holy See,2018,"52,441"
Holy See,2017,"52,045"
Holy See,2019,"57,216"
Holy See,1990,"28,789"
Holy See,1985,"27,288"
Holy See,1980,"25,879"
Holy See,2019,"58,791"
Holy See,2018,"58,413"
Holy See,2017,"58,058"
Holy See,1985,"11,061"
Holy See,2019,"62,506"
Holy See,2018,"62,756"
Holy See,2017,"63,049"
Holy See,2016,"63,362"
Holy See,2005,"33,434"
Holy See,2000,"32,564"
Holy See,1995,"31,160"
Holy See,1990,"28,812"
Holy See,1985,"19,123"
Holy See,1975,"6,827"
Holy See,1970,"5,841"
Holy See,1965,"5,823"
Holy See,1960,"5,824"
Holy See,1955,"5,238"
Holy See,2005,"47,722"
Holy See,2000,"46,735"
Holy See,1995,"45,625"
Holy See,1990,"47,274"
Holy See,1985,"45,330"
Holy See,1980,"43,337"
Holy See,1970,"28,606"
Holy See,1965,"26,073"
Holy See,1960,"23,420"
Holy See,1955,"22,788"
Holy See,1985,"22,798"
Holy See,1980,"21,459"
Holy See,1975,"19,831"
Holy See,2017,"55,620"
Holy See,1975,"25,198"
Holy See,1970,"23,484"
Holy See,1965,"23,282"
Holy See,1960,"22,452"
Holy See,2018,"56,564"
Holy See,2017,"56,481"
Holy See,2016,"56,412"
Holy See,2015,"56,377"
Holy See,2019,"64,948"
Holy See,2016,"51,625"
Holy See,2015,"51,203"
Holy See,2010,"49,016"
Holy See,2005,"46,857"
Holy See,2000,"44,074"
Holy See,2018,"56,882"
Holy See,2017,"56,562"
Holy See,2016,"56,188"
Holy See,2015,"55,780"
Holy See,1975,"23,438"
Holy See,1970,"21,266"
Holy See,1965,"18,649"
Holy See,1960,"16,493"
Holy See,2016,"57,735"
Holy See,2015,"57,439"
Holy See,2010,"56,366"
Holy See,2005,"55,258"
Holy See,2000,"50,753"
Holy See,1980,"8,771"
Holy See,1975,"6,881"
Holy See,1970,"5,712"
Holy See,1965,"4,468"
Holy See,2015,"63,692"
Holy See,2010,"65,389"
Holy See,2005,"66,257"
Holy See,2000,"65,012"
Holy See,1995,"63,442"
Holy See,1980,"13,100"
Holy See,1975,"9,557"
Holy See,1970,"6,864"
Holy See,1965,"4,459"
Holy See,1975,"41,299"
Holy See,1970,"39,009"
Holy See,1970,"19,221"
Holy See,1965,"17,513"
Holy See,2016,"55,741"
Holy See,2015,"55,812"
Holy See,2010,"56,079"
Holy See,2005,"59,562"
Holy See,2019,"71,808"
Holy See,2018,"71,625"
Holy See,2017,"71,458"
Holy See,2019,"77,142"
Holy See,2018,"77,006"
Holy See,2017,"77,001"
Holy See,2016,"77,297"
Holy See,1955,"19,655"
Holy See,2010,"56,638"
Holy See,2005,"56,951"
Holy See,2000,"56,175"
Holy See,1995,"55,811"
Holy See,2018,"64,174"
Holy See,2017,"63,382"
Holy See,2016,"62,569"
Holy See,2015,"61,724"
Holy See,1995,"42,074"
Holy See,1990,"40,259"
Holy See,1985,"41,866"
Holy See,1980,"43,205"
Holy See,1975,"44,272"
Holy See,1970,"44,883"
Holy See,2010,"53,971"
Holy See,2005,"56,542"
Holy See,2000,"57,453"
Holy See,1995,"45,870"
Holy See,1955,"14,830"
Holy See,1995,"50,457"
Holy See,1990,"47,271"
Holy See,1985,"38,333"
Holy See,1980,"30,576"
Holy See,1960,"3,893"
Holy See,1955,"3,408"
